2451,1,001721,5.25,46.6479,shift,21,side
2451,2,001707,5.25,46.9491,not_error,51,side
4361,3,003118,-35.5239,5.25,shift,21,side
4361,4,003140,-37.4414,5.25,not_error,21,side
7432,5,005343,48.8491,-5.25,shift,21,side
7432,6,005336,45.1898,-5.25,not_error,51,side
7503,7,005382,5.25,49.7727,shift,51,side
7503,8,005380,5.25,52.7263,not_error,51,side
8056,9,005795,5.25,36.7537,shift,21,side
8056,10,005783,5.25,37.7528,not_error,21,side
11792,11,008494,1.75,72.6158,shift,21,side
11792,12,008497,1.75,77.6881,not_error,51,side
13307,13,009598,30.9976,-5.25,shift,21,side
13307,14,009593,33.4015,-5.25,not_error,21,side
15907,15,011415,5.25,21.8831,shift,21,side
15907,16,011411,5.25,22.9813,not_error,51,side
19481,17,014009,43.8537,-5.25,shift,21,side
19481,18,014036,39.6794,-5.25,not_error,21,side
20660,19,014833,5.25,66.6332,shift,21,side
20660,20,014832,5.25,62.5586,not_error,21,side
23392,21,016827,58.1168,-5.25,shift,21,side
23392,22,016829,58.2866,-5.25,not_error,21,side
23417,23,016854,5.25,34.7931,shift,21,side
23417,24,016857,5.25,38.1613,not_error,21,side
24064,25,017286,-46.7004,1.75,shift,21,side
24064,26,017289,-47.1532,1.75,not_error,51,side
25528,27,018270,5.25,54.7786,shift,21,side
25528,28,018298,5.25,55.587,not_error,51,side
26494,29,019019,5.25,70.3474,shift,21,side
26494,30,019020,5.25,75.3708,not_error,51,side
27539,31,019770,68.4063,-5.25,shift,51,side
27539,32,019769,72.7211,-5.25,not_error,21,side
28241,33,020204,-5.25,-33.1705,shift,51,side
28241,34,020231,-5.25,-35.9333,not_error,21,side
29912,35,021453,-5.25,-62.7797,shift,21,side
29912,36,021472,-5.25,-66.0604,not_error,21,side
32354,37,023187,58.0812,-5.25,shift,21,side
32354,38,023191,60.0565,-5.25,not_error,21,side
41666,39,029894,5.25,34.062,shift,21,side
41666,40,029921,5.25,35.1636,not_error,21,side
44777,41,032121,-29.2693,5.25,shift,21,side
44777,42,032124,-30.2736,5.25,not_error,51,side
48710,43,034905,35.1614,-5.25,shift,21,side
48710,44,034904,35.374,-5.25,not_error,51,side
49748,45,035639,-1.75,-66.8716,shift,21,side
49748,46,035640,-1.75,-70.9908,not_error,21,side
50954,47,036482,-62.3077,1.75,shift,21,side
50954,48,036486,-62.6091,1.75,not_error,51,side
51198,49,036659,-5.25,-63.2485,shift,21,side
51198,50,036669,-5.25,-69.3047,not_error,51,side
52798,51,037757,20.9051,-5.25,shift,51,side
52798,52,037766,22.9847,-5.25,not_error,21,side
53490,53,038244,24.6962,-5.25,shift,21,side
53490,54,038262,23.1739,-5.25,not_error,21,side
53787,55,038485,-5.25,-25.201,shift,21,side
53787,56,038486,-5.25,-25.5129,not_error,51,side
53926,57,038579,-1.75,-30.9896,shift,21,side
53926,58,038588,-1.75,-31.5642,not_error,51,side
54417,59,038914,5.25,57.0911,shift,51,side
54417,60,038958,5.25,58.0634,not_error,51,side
59481,61,042541,87.5452,-1.75,shift,51,side
59481,62,042542,92.3277,-1.75,not_error,21,side
59535,63,042559,-25.3626,5.25,shift,21,side
59535,64,042573,-28.8997,5.25,not_error,21,side
60031,65,042942,52.4478,-5.25,shift,21,side
60031,66,042938,52.747,-5.25,not_error,51,side
61934,67,044260,-5.25,-58.2422,shift,21,side
61934,68,044268,-5.25,-58.5427,not_error,51,side
65908,69,047241,69.586,-5.25,shift,21,side
65908,70,047243,70.4876,-5.25,not_error,21,side
67777,71,048561,25.1924,-5.25,shift,21,side
67777,72,048587,24.1725,-5.25,not_error,21,side
68686,73,049174,-5.25,-21.4269,shift,51,side
68686,74,049200,-5.25,-27.4294,not_error,21,side
73616,75,052783,63.3944,-5.25,shift,21,side
73616,76,052788,66.8666,-5.25,not_error,21,side
75724,77,054267,-58.7593,1.75,shift,21,side
75724,78,054268,-62.5825,1.75,not_error,21,side
77963,79,055889,-29.9782,5.25,shift,21,side
77963,80,055887,-32.6357,5.25,not_error,21,side
78972,81,056603,28.2377,-5.25,shift,21,side
78972,82,056585,31.9513,-5.25,not_error,51,side
84502,83,060611,1.75,69.7445,shift,21,side
84502,84,060628,1.75,74.0665,not_error,21,side
86191,85,061823,59.4003,-5.25,shift,21,side
86191,86,061819,55.0381,-5.25,not_error,21,side
88142,87,063248,-5.25,-78.3463,shift,21,side
88142,88,063247,-5.25,-78.8791,not_error,21,side
89541,89,064213,-5.25,-39.5194,shift,21,side
89541,90,064223,-5.25,-42.2614,not_error,21,side
91010,91,065268,71.3422,-5.25,shift,21,side
91010,92,065274,75.8825,-5.25,not_error,51,side
92622,93,066391,5.25,43.3052,shift,21,side
92622,94,066395,5.25,43.7368,not_error,21,side
102010,95,073164,5.25,68.7066,shift,21,side
102010,96,073201,5.25,72.7837,not_error,21,side
103250,97,074080,1.75,67.0105,shift,21,side
103250,98,074083,1.75,68.4104,not_error,21,side
103462,99,074219,-46.6423,5.25,shift,21,side
103462,100,074226,-47.7041,5.25,not_error,21,side
104185,101,074723,-5.25,-25.6798,shift,21,side
104185,102,074722,-5.25,-27.2276,not_error,51,side
