14:8:18,100,8,6,0,
14:8:18,200,16,10,0,
14:8:18,300,29,13,0,
14:8:18,400,37,18,0,
14:8:18,500,59,26,0,
14:8:18,600,72,28,0,
14:8:18,700,81,33,0,
14:8:18,800,93,37,0,
14:8:18,900,115,39,0,
14:8:18,1000,127,44,0,
14:8:18,1100,143,47,0,
14:8:18,1200,154,53,0,
14:8:18,1300,168,58,0,
14:8:19,1400,181,64,0,
14:8:19,1500,195,68,0,
14:8:19,1600,207,73,0,
14:8:19,1700,227,79,0,
14:8:19,1800,239,86,0,
14:8:19,1900,247,91,0,
14:8:19,2000,257,94,0,
14:8:19,2100,272,97,0,
14:8:19,2200,287,102,0,
14:8:19,2300,302,107,0,
14:8:19,2400,313,112,2,
14:8:19,2500,330,115,2,
14:8:19,2600,358,118,2,
14:8:19,2700,372,125,2,
14:8:19,2800,384,129,2,
14:8:19,2900,400,130,2,
14:8:19,3000,417,135,2,
14:8:19,3100,433,140,2,
14:8:19,3200,452,141,2,
14:8:19,3300,472,146,2,
14:8:20,3400,483,149,2,
14:8:20,3500,492,154,2,
14:8:20,3600,499,157,2,
14:8:20,3700,518,162,2,
14:8:20,3800,530,163,2,
14:8:20,3900,541,164,2,
14:8:20,4000,549,170,2,
14:8:20,4100,559,173,2,
14:8:20,4200,575,178,2,
14:8:20,4300,584,178,2,
14:8:20,4400,593,187,2,
14:8:20,4500,609,192,2,
14:8:20,4600,617,200,2,
14:8:20,4700,630,200,2,
14:8:20,4800,637,203,2,
14:8:20,4900,650,207,2,
14:8:20,5000,663,212,2,
14:8:20,5100,669,212,2,
14:8:20,5200,683,215,2,
14:8:20,5300,700,222,2,
14:8:20,5400,718,225,2,
14:8:20,5500,729,230,2,
14:8:21,5600,741,234,2,
14:8:21,5700,754,239,2,
14:8:21,5800,773,239,2,
14:8:21,5900,783,240,2,
14:8:21,6000,793,242,2,
14:8:21,6100,808,247,2,
14:8:21,6200,820,250,2,
14:8:21,6300,839,252,2,
14:8:21,6400,848,257,2,
14:8:21,6500,866,260,2,
14:8:21,6600,883,267,2,
14:8:21,6700,895,272,2,
14:8:21,6800,910,274,2,
14:8:21,6900,926,279,2,
14:8:21,7000,942,283,2,
14:8:21,7100,954,284,2,
14:8:21,7200,964,286,2,
14:8:21,7300,982,290,2,
14:8:21,7400,1001,291,2,
14:8:21,7500,1013,298,2,
14:8:22,7600,1026,300,2,
14:8:22,7700,1049,307,2,
14:8:22,7800,1066,315,2,
14:8:22,7900,1075,318,2,
14:8:22,8000,1086,324,2,
14:8:22,8100,1099,328,2,
14:8:22,8200,1117,328,2,
14:8:22,8300,1132,331,2,
14:8:22,8400,1148,337,4,
14:8:22,8500,1172,343,4,
14:8:22,8600,1190,349,4,
14:8:22,8700,1207,353,4,
14:8:22,8800,1218,356,4,
14:8:22,8900,1228,359,4,
14:8:22,9000,1237,362,4,
14:8:22,9100,1246,368,4,
14:8:22,9200,1255,372,4,
14:8:22,9300,1270,377,4,
14:8:22,9400,1284,382,4,
14:8:22,9500,1290,384,4,
14:8:22,9600,1301,388,4,
14:8:23,9700,1312,394,4,
14:8:23,9800,1327,400,4,
14:8:23,9900,1333,404,4,
14:8:23,10000,1345,407,6,
14:8:23,10100,1365,410,6,
14:8:23,10200,1381,416,6,
14:8:23,10300,1397,419,6,
14:8:23,10400,1409,423,6,
14:8:23,10500,1422,429,6,
14:8:23,10600,1440,430,6,
14:8:23,10700,1461,436,6,
14:8:23,10800,1468,442,6,
14:8:23,10900,1490,445,6,
14:8:23,11000,1503,451,6,
14:8:23,11100,1515,456,6,
14:8:23,11200,1522,462,6,
14:8:23,11300,1544,467,6,
14:8:23,11400,1561,473,6,
14:8:23,11500,1573,479,6,
14:8:23,11600,1587,480,6,
14:8:24,11700,1599,488,6,
14:8:24,11800,1613,493,6,
14:8:24,11900,1631,499,6,
14:8:24,12000,1641,502,6,
14:8:24,12100,1656,507,6,
14:8:24,12200,1668,511,6,
14:8:24,12300,1683,513,6,
14:8:24,12400,1692,514,6,
14:8:24,12500,1707,518,8,
14:8:24,12600,1717,522,8,
14:8:24,12700,1732,527,8,
14:8:24,12800,1742,529,8,
14:8:24,12900,1760,533,8,
14:8:24,13000,1771,538,8,
14:8:24,13100,1783,541,8,
14:8:24,13200,1792,546,8,
14:8:24,13300,1810,550,8,
14:8:24,13400,1826,551,8,
14:8:24,13500,1834,559,8,
14:8:24,13600,1842,561,8,
14:8:24,13700,1858,564,8,
14:8:24,13800,1875,567,8,
14:8:25,13900,1885,570,8,
14:8:25,14000,1901,570,8,
14:8:25,14100,1923,577,8,
14:8:25,14200,1933,582,8,
14:8:25,14300,1942,585,8,
14:8:25,14400,1957,586,8,
14:8:25,14500,1975,593,8,
14:8:25,14600,1990,596,8,
14:8:25,14700,2006,599,8,
14:8:25,14800,2023,604,8,
14:8:25,14900,2036,610,8,
14:8:25,15000,2057,617,8,
14:8:25,15100,2065,620,8,
