#section:000000000004, isUP:1, length:1, detectors:2
#time, lane, vehicle_id, vehicle_type, origin, destination, velocity
041823200,00020101,026267,21,000002,000001,0.0147719
041825200,00020101,026268,21,000002,000001,0.0136377
041827100,00020101,026269,21,000002,000001,0.0130279
041829000,00020101,026271,21,000002,000001,0.0126623
041830800,00020101,026272,21,000002,000001,0.012355
041832700,00020101,026273,21,000002,000004,0.0121703
041833500,00030100,026274,21,000002,000003,0.014545
041834500,00020101,026275,21,000002,000004,0.0119957
041836200,00030100,026276,21,000002,000003,0.013928
041838100,00030100,026277,21,000002,000003,0.0130639
041839900,00030100,026278,21,000002,000004,0.0127076
041841600,00020101,026279,21,000002,000001,0.0143696
041843500,00020101,026280,21,000002,000004,0.0135909
041845300,00030100,026281,21,000002,000003,0.0148185
041847800,00030100,026282,21,000002,000004,0.0127403
041863100,00030100,026254,51,000001,000004,0.0081441
041872100,00030100,026257,51,000001,000004,0.0118393
041904100,00030100,026323,51,000001,000004,0.011974
041910000,00030100,026328,51,000001,000004,0.0117751
041915200,00030100,026331,22,000001,000004,0.010656
041919000,00020101,026175,21,000003,000004,0.00894414
041935900,00030100,026286,21,000002,000003,0.0124789
041937300,00020101,026289,21,000002,000004,0.0126252
000012500,00030100,000005,51,000001,000004,0.012036
000013600,00020101,000004,21,000003,000004,0.0107539
000014900,00030100,000006,22,000001,000004,0.0103607
000022900,00030100,000017,51,000001,000004,0.012007
042028600,00020101,026343,21,000003,000004,0.0108548
000024800,00020101,000018,21,000003,000004,0.0108856
042036100,00020101,026397,21,000003,000004,0.0105775
042045200,00020101,026402,21,000003,000004,0.0109039
000027000,00020101,000019,21,000003,000004,0.00992935
042052500,00020101,026408,21,000003,000004,0.0109351
000030700,00020101,000022,21,000003,000004,0.0107303
042074100,00030100,026292,21,000002,000004,0.0118101
042076000,00020101,026293,21,000002,000001,0.012325
042077300,00030100,026295,21,000002,000004,0.0125518
000039200,00030100,000036,22,000001,000004,0.0106536
000041500,00030100,000038,51,000001,000004,0.0116292
042169400,00030100,026488,51,000001,000004,0.0120018
000046200,00030100,000042,51,000001,000004,0.0120356
042173700,00030100,026490,51,000001,000004,0.0119819
042180300,00030100,026494,51,000001,000004,0.0119878
000048500,00020101,000041,21,000003,000004,0.0108842
000048600,00030100,000043,22,000001,000004,0.00996832
