#section:000000000001, isUP:1, length:1, detectors:2
#time, lane, vehicle_id, vehicle_type, origin, destination, velocity
000006600,00030100,000000,51,000002,000001,0.0166667
000007500,00020101,000002,51,000002,000001,0.0166667
000010300,00030100,000004,51,000002,000001,0.016655
000023300,00030100,000006,51,000002,000001,0.0166667
000025600,00030100,000007,51,000002,000001,0.0154192
000041900,00020101,000012,51,000002,000001,0.0166667
000047000,00030100,000015,51,000002,000001,0.0166667
000051500,00030100,000021,51,000002,000001,0.0166657
000051800,00020101,000017,51,000002,000001,0.00552041
000054400,00020101,000019,51,000002,000001,0.00954463
000056700,00020101,000022,51,000002,000001,0.0103642
000059300,00020101,000023,51,000002,000001,0.0126703
000061500,00020101,000024,51,000002,000001,0.0126652
000062900,00030100,000027,51,000002,000001,0.0166667
000063800,00020101,000025,51,000002,000001,0.0133664
000074800,00020101,000032,51,000002,000001,0.00941942
000078100,00030100,000035,51,000002,000001,0.0166667
000080600,00020101,000037,51,000002,000001,0.0159183
000081600,00030100,000039,51,000002,000001,0.0166451
000093600,00030100,000044,51,000002,000001,0.0166667
000094600,00020101,000045,51,000002,000001,0.0166667
000095900,00030100,000046,51,000002,000001,0.0157062
000106600,00030100,000052,51,000002,000001,0.0166667
000109400,00020101,000054,51,000002,000001,0.0166667
000111200,00030100,000056,51,000002,000001,0.0166659
000111800,00020101,000055,51,000002,000001,0.0153624
000122000,00030100,000061,51,000002,000001,0.0166667
000127000,00030100,000063,51,000002,000001,0.0166664
000128300,00020101,000064,51,000002,000001,0.0165652
000139100,00030100,000072,51,000002,000001,0.0166667
000141400,00030100,000073,51,000002,000001,0.0153403
000142700,00020101,000070,51,000002,000001,0.0159254
000143800,00030100,000075,51,000002,000001,0.0147315
000151800,00030100,000079,51,000002,000001,0.0165951
000155800,00030100,000080,51,000002,000001,0.0166484
000156200,00020101,000078,51,000002,000001,0.0157518
000166400,00020101,000085,51,000002,000001,0.0112219
000168700,00020101,000088,51,000002,000001,0.0121213
000183600,00030100,000094,51,000002,000001,0.0166667
000186200,00030100,000095,51,000002,000001,0.0163749
000189200,00030100,000097,51,000002,000001,0.0164323
000191600,00030100,000098,51,000002,000001,0.0152664
000196300,00020101,000100,51,000002,000001,0.0166667
000198200,00030100,000101,51,000002,000001,0.0165251
000210300,00020101,000106,51,000002,000001,0.0166667
000211200,00030100,000107,51,000002,000001,0.0166667
000221700,00030100,000115,51,000002,000001,0.0166667
000222900,00020101,000109,51,000002,000001,0.0156514
000224300,00030100,000118,51,000002,000001,0.0163749
000229600,00030100,000120,51,000002,000001,0.0165681
000232000,00030100,000122,51,000002,000001,0.0153157
000233900,00020101,000123,51,000002,000001,0.0125831
000234900,00030100,000126,51,000002,000001,0.0160055
000240800,00030100,000129,51,000002,000001,0.0165674
000243200,00030100,000130,51,000002,000001,0.0153241
000244700,00020101,000131,51,000002,000001,0.0166667
000246300,00030100,000133,51,000002,000001,0.0160593
000248800,00030100,000135,51,000002,000001,0.0160122
000251200,00030100,000137,51,000002,000001,0.0151382
000256500,00030100,000140,51,000002,000001,0.0163155
000264500,00020101,000143,51,000002,000001,0.0166667
000278300,00030100,000148,51,000002,000001,0.0166667
000281800,00020101,000150,51,000002,000001,0.0166667
000282400,00030100,000151,51,000002,000001,0.0166632
000286400,00020101,000152,51,000002,000001,0.0166659
000288200,00030100,000153,51,000002,000001,0.0161062
000289300,00020101,000154,51,000002,000001,0.013762
000290700,00030100,000156,51,000002,000001,0.0151834
000293100,00030100,000158,51,000002,000001,0.0155158
000305700,00030100,000165,51,000002,000001,0.0166667
000308000,00030100,000167,51,000002,000001,0.0153403
