#section:010886020133, isUP:0, length:-5, detectors:4
#time, lane, vehicle_id, vehicle_type, origin, destination, velocity
000104200,01040000,000188,20,020132,010852,0.0039361
000106600,01030001,000003,20,011114,020032,0.00426334
000108700,90010002,000001,20,011114,009760,0.00387165
000109200,01030001,000019,20,011114,009760,0.00394913
000114800,90010002,000033,20,011114,008777,0.00386668
000117800,90010002,000058,20,011114,009761,0.00416147
000118200,01030001,000039,20,011114,008777,0.00377895
000120500,01040000,000263,20,020132,010852,0.00387655
000139700,01030001,000125,20,011114,009760,0.000780106
000144800,01040000,000157,20,011114,008777,0.00422653
000150100,01030001,000336,20,020132,010852,0.00327844
000155000,01030001,000189,20,011114,008777,0.00424753
000156400,90010002,000180,20,011114,008878,0.00423292
000157700,01040000,000200,20,011114,010852,0.0038884
000158000,01030001,000204,20,011114,010866,0.00383346
000159000,90010002,000184,20,011114,009760,0.00408594
000160800,01030001,000211,20,011114,009760,0.00384035
