#section:008515008727, isUP:1, length:-5, detectors:3
#time, lane, vehicle_id, vehicle_type, origin, destination, velocity
000058700,00030100,000002,20,008515,010866,0.00436106
000059400,90000101,000004,20,008515,008777,0.00388097
000062000,90000101,000014,21,008515,020100,0.00422297
000064300,00030100,000032,20,008515,010866,0.00433333
000070300,00030100,000037,20,008515,008777,0.00426447
000071400,90000101,000063,21,008515,020100,0.00388397
000074100,00030100,000068,20,008515,009760,0.00436431
000084000,90000101,000128,20,008515,020006,0.00319541
000087700,00030100,000132,20,008515,009760,0.00387793
000090400,00030100,000144,20,008515,008777,0.00417773
000095200,90000101,000167,20,008515,010866,0.00388507
000098000,90000101,000179,20,008515,010866,0.00414659
000106400,90000101,000209,21,008515,020100,0.00268804
000118200,90000101,000255,20,008515,010866,0.00150115
000123700,00030100,000244,20,008515,009760,0.000765808
000129200,90000101,000269,20,008515,010866,0.000742297
000135100,00030100,000296,20,008515,009760,0.000759821
000142000,00030100,000307,20,008515,009760,0.00406475
000144900,00030100,000322,20,008515,008777,0.00382951
