#section:008827011369, isUP:0, length:-5, detectors:2
#time, lane, vehicle_id, vehicle_type, origin, destination, velocity
000096300,01040000,000055,20,008878,008515,0.00436127
000123200,01030001,000080,20,008878,008489,0.00387505
000124200,01040000,000115,20,008878,008489,0.0043366
000125800,01030001,000098,20,008878,011347,0.00371235
000129400,01030001,000123,20,008878,008489,0.00331791
000140100,01030001,000192,20,008878,008489,0.00435236
000143200,01040000,000021,20,008574,009851,0.00387284
000145800,01040000,000040,20,008574,009851,0.00369402
