000091200,01020001,000055,22,000001,000004,91200
000152600,01020001,000106,22,000001,000004,61400
000160700,01020001,000112,22,000001,000004,8100
000199200,01020001,000124,22,000001,000004,38500
000229000,01030000,000137,22,000001,000004,29800
000229600,01020001,000138,22,000001,000004,600
000291500,01030000,000187,22,000001,000004,61900
000308900,01030000,000193,22,000001,000004,17400
000314200,01030000,000194,22,000001,000004,5300
000393900,01030000,000237,22,000001,000004,79700
000426400,01030000,000268,22,000001,000004,32500
000426600,01020001,000270,22,000001,000004,200
000474600,01020001,000293,22,000001,000004,48000
000487900,01030000,000297,22,000001,000004,13300
000523100,01030000,000321,22,000001,000004,35200
000529900,01020001,000328,22,000001,000004,6800
000532400,01020001,000332,22,000001,000004,2500
000538400,01020001,000340,22,000001,000004,6000
000684200,01020001,000410,22,000001,000004,145800
000691900,01020001,000420,22,000001,000004,7700
000696000,01030000,000423,22,000001,000004,4100
000765400,01030000,000455,22,000001,000004,69400
000793100,01030000,000467,22,000001,000004,27700
000813500,01020001,000484,22,000001,000004,20400
000848600,01030000,000519,22,000001,000004,35100
000858200,01030000,000524,22,000001,000004,9600
000869900,01020001,000529,22,000001,000004,11700
000878500,01030000,000531,22,000001,000004,8600
000883100,01020001,000532,22,000001,000004,4600
000894500,01020001,000534,22,000001,000004,11400
000980200,01030000,000600,22,000001,000004,85700
000007400,01010000,000004,51,000001,000003,7400
000009900,01010000,000008,51,000001,000002,2500
000000800,01010000,000000,51,000001,000002,800
000004900,01010000,000002,51,000001,000004,4100
000006700,01010000,000003,51,000001,000004,1800
000008500,01010000,000006,51,000001,000003,1800
000000700,01010000,000002,51,000001,000003,700
000004500,01010000,000008,51,000001,000004,3800
000007500,01010000,000011,51,000001,000002,3000
000009100,01010000,000013,51,000001,000004,1600
000001500,01010000,000001,51,000001,000002,1500
000008400,01010000,000007,51,000001,000004,6900
000009900,01010000,000009,51,000001,000002,1500
000000300,01010000,000000,22,000001,000004,300
000005900,01010000,000004,51,000001,000004,5600
000007800,01010000,000007,51,000001,000003,1900
000009900,01010000,000009,51,000001,000004,2100
000000300,01010000,000000,51,000001,000003,300
000009400,01010000,000008,51,000001,000002,9100
000004700,01010000,000007,51,000001,000003,4700
000007500,01010000,000012,51,000001,000002,2800
000008900,01010000,000015,51,000001,000003,1400
000010700,01010000,000018,51,000001,000003,1800
000012600,01010000,000022,51,000001,000003,1900
000015100,01010000,000026,51,000001,000003,2500
000018500,01010000,000031,51,000001,000004,3400
000021600,01010000,000034,22,000001,000004,3100
000005400,01010000,000002,51,000001,000004,5400
000006600,01010000,000004,22,000001,000004,1200
000008400,01010000,000006,51,000001,000004,1800
000000300,01010000,000000,51,000001,000004,300
000001500,01010000,000003,22,000001,000004,1200
000003300,01010000,000005,51,000001,000002,1800
000005400,01010000,000008,51,000001,000003,2100
000007500,01010000,000011,51,000001,000004,2100
000018500,01010000,000019,51,000001,000003,11000
000019900,01010000,000020,51,000001,000002,1400
000022000,01010000,000025,51,000001,000002,2100
000027400,01010000,000033,51,000001,000002,5400
000029200,01010000,000035,51,000001,000002,1800
000031700,01010000,000038,51,000001,000004,2500
000034900,01010000,000042,51,000001,000004,3200
000037900,01010000,000045,51,000001,000004,3000
000040500,01010000,000046,51,000001,000004,2600
000042900,01010000,000050,51,000001,000003,2400
000045400,01010000,000052,51,000001,000002,2500
000047900,01010000,000055,51,000001,000004,2500
000050300,01010000,000057,51,000001,000003,2400
000052300,01010000,000059,22,000001,000004,2000
000054700,01010000,000060,51,000001,000004,2400
000057200,01010000,000062,51,000001,000004,2500
000060200,01010000,000065,51,000001,000002,3000
000063900,01010000,000067,51,000001,000004,3700
000069500,01010000,000069,51,000001,000003,5600
000005900,01010000,000008,51,000001,000003,5900
000014000,01010000,000012,51,000001,000002,8100
000015800,01010000,000015,51,000001,000002,1800
000018100,01010000,000018,22,000001,000004,2300
000040400,01010000,000037,51,000001,000003,22300
000045300,01010000,000042,51,000001,000004,4900
000048100,01010000,000044,22,000001,000004,2800
000050800,01010000,000045,22,000001,000004,2700
000054100,01010000,000049,51,000001,000004,3300
000057400,01010000,000051,51,000001,000002,3300
000061000,01010000,000054,51,000001,000003,3600
000065700,01010000,000058,51,000001,000003,4700
000005900,01010000,000006,51,000001,000002,5900
000007700,01010000,000010,22,000001,000004,1800
000009400,01010000,000012,51,000001,000004,1700
000011200,01010000,000014,51,000001,000002,1800
000016200,01010000,000019,51,000001,000003,5000
000022200,01010000,000023,51,000001,000003,6000
000023600,01010000,000026,51,000001,000003,1400
000025300,01010000,000028,51,000001,000003,1700
000027200,01010000,000032,51,000001,000003,1900
000032300,01010000,000038,22,000001,000004,5100
000034900,01010000,000040,51,000001,000003,2600
000037600,01010000,000043,51,000001,000003,2700
000039300,01010000,000044,51,000001,000002,1700
000041100,01010000,000046,51,000001,000004,1800
000045200,01010000,000050,51,000001,000003,4100
000048500,01010000,000052,51,000001,000002,3300
000050400,01010000,000055,51,000001,000004,1900
000052300,01010000,000056,51,000001,000004,1900
000054500,01010000,000059,51,000001,000004,2200
000057100,01010000,000060,51,000001,000002,2600
000062300,01010000,000063,51,000001,000004,5200
000066000,01010000,000065,51,000001,000002,3700
000070100,01010000,000067,51,000001,000004,4100
000080700,01010000,000069,51,000001,000002,10600
000005700,01030000,000005,51,000001,000004,5700
000008400,01020001,000010,22,000001,000004,2700
000015700,01030000,000016,22,000001,000004,7300
000018300,01020001,000019,51,000001,000002,2600
