#section:000000000003, isUP:1, length:1, detectors:2
#time, lane, vehicle_id, vehicle_type, origin, destination, velocity
000859400,00030100,000431,51,000001,000003,0.0122913
000920400,00030100,000531,21,000004,000003,0.00923365
000926800,00030100,000538,21,000004,000003,0.0100308
000928800,00030100,000542,21,000004,000003,0.00929243
000934500,00030100,000559,21,000004,000003,0.010234
000948700,00030100,000622,21,000004,000003,0.0105341
000954100,00030100,000626,21,000004,000003,0.0104515
000961100,00030100,000633,21,000004,000003,0.0106743
000967000,00030100,000639,21,000004,000003,0.00854801
000969600,00020101,000545,21,000002,000003,0.00885205
000984200,00020101,000430,51,000001,000003,0.0120083
000986600,00020101,000432,51,000001,000004,0.0120937
000988900,00030100,000434,51,000001,000002,0.0134582
000991300,00020101,000497,51,000001,000003,0.0134747
000993600,00030100,000511,51,000001,000002,0.0137543
001007000,00020101,000604,51,000001,000003,0.0121714
001007100,00030100,000602,51,000001,000003,0.0120339
001009500,00030100,000605,51,000001,000003,0.0121027
001010400,00020101,000607,51,000001,000003,0.0128278
001012800,00020101,000655,51,000001,000003,0.0125995
001015000,00030100,000656,51,000001,000002,0.0135956
001017400,00030100,000660,51,000001,000003,0.0132458
001018500,00020101,000662,51,000001,000003,0.014521
001020800,00030100,000663,51,000001,000002,0.0143083
001024300,00030100,000666,51,000001,000002,0.014963
001026500,00020101,000667,22,000001,000004,0.0146658
001028600,00020101,000669,51,000001,000003,0.0138178
001030800,00030100,000671,51,000001,000002,0.014476
001033000,00020101,000672,51,000001,000004,0.0145439
001035200,00020101,000674,51,000001,000003,0.0137632
001036300,00030100,000675,51,000001,000003,0.0154667
001059100,00030100,000643,21,000004,000003,0.00905639
001064600,00030100,000648,21,000004,000003,0.0097463
001070700,00030100,000651,21,000004,000003,0.0104398
001083400,00030100,000697,21,000004,000003,0.0106895
001110100,00020101,000550,21,000002,000003,0.00885342
001112500,00020101,000552,21,000002,000003,0.00837727
001114800,00020101,000555,21,000002,000003,0.0083699
001126200,00020101,000678,51,000001,000004,0.0132349
001129800,00020101,000680,51,000001,000004,0.0140467
001132200,00030100,000681,51,000001,000002,0.0141553
001134500,00020101,000682,51,000001,000004,0.0143306
001135900,00030100,000683,51,000001,000003,0.0146505
001138100,00020101,000684,22,000001,000004,0.0144806
001140200,00030100,000686,51,000001,000002,0.0141608
001141500,00020101,000685,51,000001,000003,0.0150687
001142400,00030100,000690,51,000001,000003,0.0135028
001146000,00030100,000734,51,000001,000002,0.0153946
001147500,00020101,000737,51,000001,000003,0.0153823
001148300,00030100,000738,51,000001,000003,0.0145478
001150400,00020101,000739,22,000001,000004,0.0148284
001152500,00020101,000741,51,000001,000004,0.014088
001154700,00030100,000742,51,000001,000002,0.0147312
001156900,00020101,000743,51,000001,000004,0.014751
001158200,00030100,000744,51,000001,000003,0.0153579
001160400,00020101,000745,22,000001,000004,0.015362
001166500,00030100,000751,51,000001,000003,0.0153635
001171400,00020101,000750,51,000001,000004,0.014207
001173700,00020101,000753,51,000001,000004,0.0135234
001174900,00030100,000754,51,000001,000003,0.0146932
001194100,00030100,000716,21,000004,000003,0.00755187
001202400,00030100,000721,21,000004,000003,0.00958264
001204400,00030100,000723,21,000004,000003,0.00901846
001205800,00020101,000562,21,000002,000003,0.00901224
001217400,00030100,000736,21,000004,000003,0.0100266
001252000,00020101,000565,21,000002,000003,0.00864581
001264200,00030100,000756,51,000001,000002,0.0120083
001266600,00020101,000757,51,000001,000004,0.013036
001268900,00030100,000758,51,000001,000002,0.0135651
001270200,00020101,000759,51,000001,000003,0.0138414
001271200,00030100,000760,51,000001,000003,0.0131606
001273400,00020101,000763,51,000001,000004,0.0139889
001275700,00030100,000765,51,000001,000002,0.0143319
001277900,00020101,000768,51,000001,000004,0.0144902
001279200,00030100,000806,51,000001,000003,0.014856
001280100,00020101,000807,51,000001,000003,0.0137731
001282300,00030100,000809,51,000001,000002,0.0144401
001283600,00020101,000810,51,000001,000003,0.0151715
001285900,00030100,000811,51,000001,000002,0.0152559
001287300,00020101,000814,51,000001,000003,0.0156078
001289600,00020101,000816,51,000001,000003,0.0147525
001290200,00030100,000817,51,000001,000003,0.0155702
001291900,00020101,000818,51,000001,000003,0.014356
001294200,00020101,000820,51,000001,000003,0.0141041
001294300,00030100,000821,51,000001,000003,0.0153145
001296700,00020101,000822,51,000001,000004,0.0145797
001298000,00030100,000824,51,000001,000003,0.0154269
001300900,00030100,000826,51,000001,000002,0.015339
