#section:000000000004, isUP:1, length:1, detectors:2
#time, lane, vehicle_id, vehicle_type, origin, destination, velocity
000022200,00030100,000015,51,000001,000004,0.0120462
000027500,00030100,000020,51,000001,000004,0.0120141
000037200,00030100,000032,51,000001,000004,0.011797
000046300,00020101,000011,21,000003,000004,0.00893262
000049800,00030100,000050,51,000001,000004,0.012036
000054700,00030100,000055,51,000001,000004,0.0117865
000057000,00020101,000018,21,000003,000004,0.00878581
000075700,00020101,000026,21,000002,000001,0.0126176
000151600,00030100,000076,51,000001,000004,0.0115174
000157600,00030100,000083,22,000001,000004,0.0103446
000159700,00030100,000086,22,000001,000004,0.00975855
000163600,00030100,000120,22,000001,000004,0.0104017
000166800,00030100,000127,51,000001,000004,0.0119116
000169100,00030100,000129,51,000001,000004,0.0114839
000179000,00030100,000140,51,000001,000004,0.0120031
000200500,00020101,000037,21,000003,000004,0.00875868
000214100,00030100,000047,21,000002,000003,0.0118101
000216000,00020101,000053,21,000002,000001,0.0123249
000217300,00030100,000063,21,000002,000004,0.0125517
000283100,00030100,000152,51,000001,000004,0.0081441
000296100,00030100,000160,51,000001,000004,0.0110999
000298800,00020101,000060,21,000003,000004,0.00867636
000314500,00030100,000203,51,000001,000004,0.0119337
000316800,00030100,000207,51,000001,000004,0.0113841
000319000,00030100,000210,51,000001,000004,0.01094
000322500,00030100,000216,51,000001,000004,0.0119614
000331100,00030100,000227,51,000001,000004,0.0117731
000340200,00020101,000077,21,000003,000004,0.00894421
000354100,00020101,000066,21,000002,000004,0.0118101
000356100,00020101,000073,21,000002,000004,0.0113537
000358000,00030100,000075,21,000002,000003,0.0127604
000362100,00030100,000090,21,000002,000004,0.013509
000364100,00030100,000095,21,000002,000003,0.0126171
000366100,00030100,000098,21,000002,000004,0.0123223
000368000,00030100,000101,21,000002,000004,0.0121336
000369900,00030100,000108,21,000002,000004,0.0120435
000371800,00030100,000118,21,000002,000004,0.0120022
000373600,00020101,000165,21,000002,000001,0.0137855
000375500,00020101,000171,21,000002,000001,0.0128956
000377400,00020101,000191,21,000002,000001,0.0125747
000382700,00030100,000253,21,000002,000003,0.0136058
000384700,00030100,000256,21,000002,000003,0.0126177
000385800,00020101,000260,21,000002,000004,0.0144699
000386700,00030100,000259,21,000002,000004,0.012197
000388600,00030100,000261,21,000002,000003,0.0118651
000390500,00030100,000263,21,000002,000004,0.0116559
000393700,00030100,000270,21,000002,000003,0.0140753
000395700,00030100,000273,21,000002,000004,0.0131346
000397500,00020101,000274,21,000002,000001,0.0139822
000400500,00030100,000280,21,000002,000004,0.014978
000401000,00020101,000279,21,000002,000004,0.0145814
